iter	MultiClass
0	1.020353041
1	0.9541888541
2	0.8995780512
3	0.8531201552
4	0.8125153932
5	0.7779104576
6	0.7472498414
7	0.7206366255
8	0.6968213629
9	0.6760990564
10	0.6567648208
11	0.639606107
12	0.6249352102
13	0.6110496331
14	0.5984009994
15	0.5876936126
16	0.5777186473
17	0.5681643372
18	0.5602734325
19	0.5524296784
20	0.5455078352
21	0.5388183385
22	0.5329627272
23	0.5273600791
24	0.5223399544
25	0.5179268855
26	0.5137971577
27	0.509888894
28	0.5061912492
29	0.5028527833
30	0.4997644747
31	0.4968581598
32	0.4939797235
33	0.4914580955
34	0.48905832
35	0.4869719026
36	0.4848396272
37	0.4829559871
38	0.481133981
39	0.479387742
40	0.4778214399
41	0.4761529431
42	0.474831404
43	0.4733133379
44	0.4721149639
45	0.4709386161
46	0.469795761
47	0.4685867016
48	0.4675153979
49	0.4663624529
50	0.4655526437
51	0.464544916
52	0.4635362512
53	0.4625737608
54	0.4618356262
55	0.4611541059
56	0.4603263653
57	0.4595650589
58	0.4588051267
59	0.45810098
60	0.4574760255
61	0.4567373133
62	0.4560859724
63	0.4553769735
64	0.4548829197
65	0.4542947212
66	0.4538697731
67	0.4533871432
68	0.4529236616
69	0.4523318521
70	0.4517575105
71	0.4510628309
72	0.4504088202
73	0.4499159197
74	0.4495084988
75	0.4489631837
76	0.4484162598
77	0.4479694539
78	0.4474849296
79	0.4468141999
80	0.4465280997
81	0.4462012694
82	0.4459080115
83	0.4456783937
84	0.4450679544
85	0.4447992137
86	0.4444313071
87	0.4440495139
88	0.4437380038
89	0.4434419538
90	0.4430609974
91	0.4428362961
92	0.4423399085
93	0.4418353514
94	0.4414401686
95	0.4411740022
96	0.4409812013
97	0.4406516341
98	0.44047531
99	0.4400838004
100	0.4397139005
101	0.4393208025
102	0.438933524
103	0.438626427
104	0.4382975014
105	0.4380554954
106	0.4375885184
107	0.4372828956
108	0.4370483737
109	0.4367628976
110	0.4364684131
111	0.4360979947
112	0.4357096941
113	0.4353036675
114	0.4350829819
115	0.4348041834
116	0.434585703
117	0.4341799518
118	0.4339290242
119	0.4336694236
120	0.4334803244
121	0.433179315
122	0.4328485423
123	0.4326343178
124	0.4323943802
125	0.4319529448
126	0.4316954209
127	0.4312706972
128	0.4309961824
129	0.4306808917
130	0.4304727675
131	0.4303644486
132	0.4301842535
133	0.4298668482
134	0.429558645
135	0.4291492984
136	0.4290142808
137	0.4288250653
138	0.4285552268
139	0.4283295631
140	0.428025383
141	0.4277419931
142	0.4274397513
143	0.4271099689
144	0.4267706372
145	0.4265254661
146	0.4263029372
147	0.4259551011
148	0.4256486329
149	0.4254469206
150	0.4251832137
151	0.4249054547
152	0.4246403187
153	0.4244520026
154	0.4242849347
155	0.4241206548
156	0.4238772605
157	0.4235468654
