iter	Passed	Remaining
0	12	4870
1	25	4822
2	37	4735
3	50	4694
4	63	4716
5	75	4696
6	89	4709
7	101	4677
8	113	4661
9	126	4639
10	138	4619
11	151	4615
12	163	4588
13	176	4588
14	190	4603
15	203	4589
16	215	4563
17	227	4540
18	240	4527
19	252	4508
20	264	4487
21	276	4464
22	288	4443
23	301	4429
24	313	4416
25	325	4396
26	337	4377
27	349	4355
28	361	4339
29	372	4312
30	384	4293
31	396	4274
32	408	4255
33	420	4242
34	432	4224
35	444	4210
36	456	4197
37	468	4177
38	480	4164
39	492	4147
40	503	4129
41	515	4114
42	526	4092
43	538	4079
44	550	4063
45	561	4043
46	572	4021
47	584	4008
48	596	3991
49	608	3976
50	620	3963
51	632	3950
52	643	3931
53	654	3916
54	666	3903
55	677	3882
56	689	3871
57	702	3862
58	713	3847
59	724	3826
60	735	3811
61	747	3798
62	758	3781
63	770	3768
64	780	3747
65	791	3731
66	802	3715
67	813	3694
68	823	3676
69	836	3667
70	847	3651
71	859	3639
72	871	3630
73	882	3614
74	894	3601
75	905	3587
76	917	3573
77	929	3561
78	940	3549
79	952	3537
80	963	3519
81	973	3502
82	984	3486
83	994	3469
84	1005	3453
85	1016	3438
86	1027	3424
87	1039	3412
88	1050	3399
89	1061	3385
90	1073	3374
91	1083	3357
92	1094	3343
93	1106	3332
94	1118	3320
95	1129	3307
96	1141	3294
97	1152	3282
98	1163	3268
99	1175	3256
100	1186	3243
101	1198	3231
102	1210	3220
103	1222	3208
104	1234	3198
105	1246	3187
106	1258	3176
107	1270	3164
108	1283	3155
109	1295	3144
110	1307	3133
111	1319	3122
112	1330	3109
113	1341	3095
114	1352	3081
115	1364	3069
116	1375	3056
117	1387	3045
118	1399	3033
119	1409	3018
120	1419	3004
121	1431	2991
122	1442	2979
123	1453	2965
124	1464	2953
125	1477	2942
126	1488	2929
127	1500	2918
128	1511	2905
129	1522	2892
130	1533	2879
131	1543	2864
132	1554	2852
133	1566	2841
134	1577	2828
135	1589	2817
136	1600	2803
137	1610	2789
138	1622	2778
139	1634	2766
140	1646	2755
141	1657	2743
142	1669	2731
143	1680	2719
144	1692	2708
145	1703	2695
146	1714	2682
147	1726	2670
148	1737	2659
149	1749	2647
150	1760	2634
151	1771	2621
152	1782	2609
153	1793	2597
154	1804	2584
155	1815	2571
156	1826	2559
157	1838	2547
158	1851	2537
159	1862	2525
160	1874	2515
161	1884	2501
162	1896	2490
163	1908	2478
164	1920	2466
165	1930	2453
166	1941	2442
167	1953	2430
168	1965	2419
169	1977	2407
170	1987	2394
171	1998	2382
172	2010	2370
173	2021	2358
174	2032	2346
175	2043	2334
176	2054	2321
177	2065	2309
178	2077	2298
179	2088	2285
180	2099	2273
181	2110	2260
182	2121	2249
183	2133	2238
184	2145	2226
185	2156	2214
186	2167	2202
187	2178	2190
188	2188	2176
189	2199	2164
190	2211	2153
191	2222	2141
192	2234	2130
193	2245	2118
194	2256	2106
195	2267	2093
196	2278	2082
197	2289	2069
198	2299	2056
199	2310	2044
200	2322	2033
201	2332	2020
202	2343	2008
203	2355	1997
204	2367	1986
205	2378	1974
206	2389	1962
207	2400	1950
208	2412	1938
209	2423	1927
210	2434	1914
211	2445	1903
212	2457	1891
213	2468	1880
214	2481	1869
215	2493	1858
216	2503	1845
217	2514	1834
218	2526	1822
219	2537	1811
220	2549	1799
221	2561	1788
222	2572	1776
223	2584	1765
224	2595	1753
225	2607	1742
226	2618	1730
227	2629	1718
228	2642	1707
229	2652	1695
230	2663	1683
231	2676	1672
232	2687	1661
233	2699	1649
234	2710	1637
235	2721	1626
236	2733	1614
237	2745	1603
238	2757	1592
239	2769	1580
240	2781	1569
241	2791	1557
242	2803	1545
243	2814	1534
244	2825	1522
245	2837	1510
246	2850	1500
247	2861	1488
248	2872	1476
249	2883	1464
250	2894	1452
251	2905	1441
252	2916	1429
253	2927	1417
254	2939	1406
255	2951	1395
256	2962	1383
257	2974	1371
258	2985	1360
259	2996	1348
260	3008	1337
261	3020	1325
262	3030	1313
263	3041	1301
264	3051	1289
265	3062	1278
266	3073	1266
267	3086	1255
268	3098	1243
269	3110	1232
270	3121	1221
271	3133	1209
272	3145	1198
273	3156	1186
274	3168	1175
275	3180	1163
276	3193	1152
277	3204	1141
278	3215	1129
279	3227	1118
280	3238	1106
281	3249	1094
282	3259	1082
283	3271	1071
284	3283	1059
285	3295	1048
286	3306	1036
287	3318	1025
288	3328	1013
289	3341	1002
290	3351	990
291	3363	979
292	3376	967
293	3388	956
294	3400	945
295	3414	934
296	3427	923
297	3439	911
298	3451	900
299	3463	888
300	3474	877
301	3486	865
302	3497	854
303	3508	842
304	3520	830
305	3531	819
306	3543	807
307	3554	796
308	3566	784
309	3577	773
310	3589	761
311	3599	749
312	3610	738
313	3623	726
314	3634	715
315	3646	703
316	3657	692
317	3668	680
318	3681	669
319	3694	658
320	3706	646
321	3718	635
322	3729	623
323	3740	611
324	3752	600
325	3764	588
326	3776	577
327	3787	565
328	3799	554
329	3811	542
330	3823	531
331	3834	519
332	3845	508
333	3857	496
334	3869	485
335	3880	473
336	3892	462
337	3904	450
338	3916	439
339	3925	427
340	3937	415
341	3948	404
342	3959	392
343	3971	380
344	3981	369
345	3992	357
346	4003	346
347	4014	334
348	4025	322
349	4037	311
